name,lon,lat
001,16.15457,48.12855
002,16.15383,48.12837
003,16.15286,48.12811
004,16.15232,48.12790
005,16.15198,48.12767
006,16.15171,48.12735
007,16.15137,48.12709
008,16.15130,48.12688
009,16.15136,48.12673
010,16.15151,48.12659
011,16.15168,48.12638
012,16.15180,48.12630
013,16.15206,48.12612
014,16.15241,48.12598
015,16.15265,48.12586
016,16.15287,48.12575
017,16.15300,48.12558
018,16.15302,48.12541
019,16.15290,48.12521
020,16.15279,48.12509
021,16.15267,48.12494
022,16.15239,48.12472
023,16.15219,48.12458
024,16.15213,48.12449
025,16.15208,48.12437
026,16.15196,48.12425
027,16.15173,48.12407
028,16.15157,48.12390
029,16.15114,48.12330
030,16.15112,48.12348
031,16.15108,48.12367
032,16.15106,48.12379
033,16.15111,48.12393
034,16.15151,48.12463
035,16.15153,48.12480
036,16.15144,48.12497
037,16.15124,48.12517
038,16.15093,48.12545
039,16.15079,48.12558
040,16.15070,48.12560
041,16.15062,48.12559
042,16.15064,48.12550
043,16.15065,48.12536
044,16.15065,48.12515
045,16.15061,48.12492
046,16.15050,48.12463
047,16.15035,48.12443
048,16.15016,48.12422
049,16.14989,48.12394
050,16.14971,48.12372
051,16.14964,48.12357
052,16.14950,48.12342
053,16.14928,48.12326
054,16.14903,48.12312
055,16.14886,48.12302
056,16.14834,48.12288
057,16.14860,48.12294
058,16.14815,48.12284
059,16.14793,48.12284
060,16.14778,48.12287
061,16.14761,48.12292
062,16.14745,48.12297
063,16.14734,48.12299
064,16.14716,48.12300
065,16.14698,48.12298
066,16.14682,48.12294
067,16.14662,48.12289
068,16.14645,48.12287
069,16.14624,48.12287
070,16.14599,48.12286
071,16.14578,48.12289
072,16.14559,48.12289
073,16.14547,48.12287
074,16.14532,48.12285
075,16.14516,48.12288
076,16.14491,48.12296
077,16.14470,48.12301
078,16.14441,48.12304
079,16.14429,48.12304
080,16.14412,48.12299
081,16.14392,48.12298
082,16.14377,48.12294
083,16.14701,48.12268
084,16.14714,48.12275
085,16.14721,48.12282
086,16.14728,48.12289
087,16.14734,48.12297

